Date,Humidity,Temperature
2018-08-03 03:34:49,34,27
2018-08-03 03:34:55,34,27
2018-08-03 03:35:01,33,27
2018-08-03 03:35:07,33,27
2018-08-03 03:35:13,33,27
2018-08-03 03:35:20,33,27
2018-08-03 03:35:26,33,27
2018-08-03 03:35:32,33,27
2018-08-03 03:35:39,33,27
2018-08-03 03:35:45,33,27
2018-08-03 03:35:51,33,27
2018-08-03 03:35:57,33,27
2018-08-03 03:36:03,33,27
2018-08-03 03:36:10,33,27
2018-08-03 03:36:17,34,28
2018-08-03 03:36:23,34,28
2018-08-03 03:36:29,34,28
2018-08-03 03:36:35,34,28
2018-08-03 03:36:41,33,27
2018-08-03 03:36:48,33,27
2018-08-03 03:36:54,33,27
2018-08-03 03:37:01,33,27
2018-08-03 03:37:08,33,27
2018-08-03 03:37:15,33,27
2018-08-03 03:37:22,33,27
2018-08-03 03:37:29,33,27
2018-08-03 03:37:36,32,27
2018-08-03 03:37:43,33,27
2018-08-03 03:37:50,33,27
2018-08-03 03:37:57,33,27
2018-08-03 03:38:04,33,27
2018-08-03 03:38:11,33,27
2018-08-03 03:38:17,33,27
2018-08-03 03:38:23,33,27
2018-08-03 03:38:30,33,27
2018-08-03 03:38:36,33,27
2018-08-03 03:38:43,33,27
2018-08-03 03:38:50,33,27
2018-08-03 03:38:57,33,27
2018-08-03 03:39:04,34,28
2018-08-03 03:39:11,33,27
2018-08-03 03:39:18,33,27
2018-08-03 03:39:25,33,27
2018-08-03 03:39:32,33,27
2018-08-03 03:39:39,33,27
2018-08-03 03:39:46,33,27
2018-08-03 03:39:53,33,27
2018-08-03 03:40:00,33,27
2018-08-03 03:40:07,33,27
2018-08-03 03:40:14,33,27
2018-08-03 03:40:21,33,27
2018-08-03 03:40:28,33,27
2018-08-03 03:40:35,33,27
2018-08-03 03:40:42,33,27
2018-08-03 03:40:49,33,27
2018-08-03 03:40:56,33,27
2018-08-03 03:41:03,33,27
2018-08-03 03:41:10,33,27
2018-08-03 03:41:17,33,27
2018-08-03 03:41:24,33,27
2018-08-03 03:41:31,33,27
2018-08-03 03:41:38,34,27
2018-08-03 03:41:45,34,27
2018-08-03 03:41:52,33,27
2018-08-03 03:41:59,33,27
2018-08-03 03:42:05,33,27
2018-08-03 03:42:12,33,27
2018-08-03 03:42:19,33,27
2018-08-03 03:42:26,33,27
2018-08-03 03:42:33,33,27
2018-08-03 03:42:40,33,27
2018-08-03 03:42:47,33,27
2018-08-03 03:42:53,33,27
2018-08-03 03:43:00,33,27
2018-08-03 03:43:07,32,27
2018-08-03 03:43:13,32,27
2018-08-03 03:43:19,32,27
2018-08-03 03:43:26,32,27
2018-08-03 03:43:33,32,27
2018-08-03 03:43:40,31,27
2018-08-03 03:43:47,31,27
2018-08-03 03:43:53,31,27
2018-08-03 03:44:00,31,27
2018-08-03 03:44:06,31,27
2018-08-03 03:44:13,31,27
2018-08-03 03:44:20,31,27
2018-08-03 03:44:27,30,27
2018-08-03 03:44:34,30,27
2018-08-03 03:44:41,30,27
2018-08-03 03:44:48,30,27
2018-08-03 03:44:55,30,27
